name,minLon,minLat,maxLon,maxLat
10SW1C(e815n816:e815n817).tif,113.9704841,22.28997383,113.9777691,22.29540445
10SW1D(e815n816:e816n817).tif,113.9777624,22.28998301,113.985047,22.29541335
10SW20C(e821n813:e821n813).tif,114.028744,22.25752719,114.036025,22.25882807
10SW20D(e821n813:e822n813).tif,114.0360336,22.25753351,114.0433013,22.25846626
10SW21A(e815n812:e815n813).tif,113.9705386,22.25204525,113.9778225,22.25747513
10SW21B(e815n812:e816n813).tif,113.977815,22.25205458,113.9850988,22.25748433
10SW21C(e815n812:e815n812).tif,113.9705462,22.24662705,113.9778298,22.2520567
10SW21D(e815n812:e816n812).tif,113.9778224,22.24663635,113.9851057,22.25206571
10SW22A(e816n812:e817n813).tif,113.9850911,22.25206306,113.9923746,22.25749258
10SW22B(e817n812:e818n813).tif,113.9923674,22.25207168,113.9996506,22.25750098
10SW22C(e816n812:e817n812).tif,113.9850985,22.24664531,113.9923817,22.2520746
10SW22D(e817n812:e818n812).tif,113.9923745,22.2466533,113.9996575,22.25208243
10SW23A(e818n812:e818n813).tif,113.9996435,22.25207961,114.0069265,22.25750875
10SW23B(e818n812:e819n813).tif,114.0069133,22.25208728,114.0122582,22.2575069
10SW23C(e818n812:e818n812).tif,113.9996487,22.24666116,114.006929,22.25208824
10SW23D(e818n812:e819n812).tif,114.0069217,22.25015716,114.0118396,22.25208574
10SW24B(e820n812:e821n813).tif,114.026457,22.25210684,114.0287525,22.25753574
10SW24D(e820n812:e821n812).tif,114.0260422,22.24668775,114.027035,22.25210275
10SW25A(e821n812:e821n813).tif,114.0287509,22.25211328,114.0360302,22.25753968
10SW25B(e821n812:e822n813).tif,114.0360251,22.25211543,114.0433061,22.25754308
10SW25C(e821n812:e821n812).tif,114.0338931,22.24938319,114.0360324,22.25211781
10SW25D(e821n812:e822n812).tif,114.0360316,22.24669921,114.0433116,22.25212613
10SW2A(e816n817:e817n818).tif,113.9850328,22.29540995,113.9923176,22.30084042
10SW2B(e817n817:e818n818).tif,113.9923114,22.29541847,113.9995961,22.30084886
10SW2C(e816n816:e817n817).tif,113.9850401,22.28999175,113.9923247,22.29542214
10SW2D(e817n816:e818n817).tif,113.9923184,22.29000008,113.9996029,22.29543034
10SW3A(e818n817:e818n818).tif,113.9995897,22.29542642,114.0068742,22.30085665
10SW3B(e818n817:e819n818).tif,114.0068683,22.29543419,114.0141524,22.30086415
10SW3C(e818n816:e818n817).tif,113.9995964,22.29000806,114.0068804,22.295438
10SW3D(e818n816:e819n817).tif,114.0068748,22.29001594,114.0141587,22.29544575
10SW4A(e819n817:e820n818).tif,114.0141479,22.2954417,114.0214306,22.3008706
10SW4B(e820n817:e821n818).tif,114.021429,22.29544887,114.0259352,22.29925752
10SW4C(e819n816:e820n817).tif,114.0141522,22.29002329,114.021433,22.29545081
10SW4D(e820n816:e821n817).tif,114.0214328,22.2909332,114.0278551,22.29546098
10SW5C(e821n816:e821n817).tif,114.032857,22.29004116,114.0342754,22.29041033
10SW5D(e821n816:e822n817).tif,114.0360841,22.29004385,114.0432705,22.2922075
10SW6A(e815n816:e815n816).tif,113.9704916,22.28455568,113.9777765,22.28998623
10SW6B(e815n816:e816n816).tif,113.9777698,22.28456548,113.9850543,22.28999573
10SW6C(e815n815:e815n816).tif,113.9704997,22.27913696,113.977784,22.28456709
10SW6D(e815n815:e816n816).tif,113.9777778,22.27914678,113.9850618,22.28457665
10SW7A(e816n816:e817n816).tif,113.9850476,22.28457334,113.992332,22.29000354
10SW7B(e817n816:e818n816).tif,113.9923252,22.2845817,113.9996095,22.2900118
10SW7C(e816n815:e817n816).tif,113.9850547,22.27915481,113.9923392,22.28458507
10SW7D(e817n815:e818n816).tif,113.9923323,22.27916327,113.9996165,22.28459332
10SW8A(e818n816:e818n816).tif,113.9996034,22.28458991,114.0068874,22.29001977
10SW8B(e818n816:e819n816).tif,114.0068815,22.28459754,114.0141649,22.29002697
10SW8C(e818n815:e818n816).tif,113.9996103,22.2791717,114.0068939,22.28460129
10SW8D(e818n815:e819n816).tif,114.0068878,22.27917955,114.014171,22.28460885
10SW9A(e819n816:e820n816).tif,114.01416,22.28460496,114.0214426,22.29003383
10SW9B(e820n816:e821n816).tif,114.0214475,22.28461216,114.023013,22.28492525
10SW9C(e819n815:e820n816).tif,114.0141656,22.27918689,114.0214487,22.2846161
10SW9D(e820n815:e821n816).tif,114.0214349,22.2791937,114.0235249,22.2846097
11NE10A(e843n822:e844n822).tif,114.2470798,22.3388516,114.254361,22.34427944
11NE10B(e844n822:e845n822).tif,114.2543602,22.33884798,114.2616415,22.34427588
11NE10C(e843n821:e844n822).tif,114.2470768,22.33343317,114.2543578,22.33886084
11NE10D(e844n821:e845n822).tif,114.254357,22.33342951,114.2616384,22.33885746
11NE11A(e837n821:e838n821).tif,114.1888351,22.3280322,114.1961134,22.33345788
11NE11B(e838n821:e839n821).tif,114.1961149,22.32803117,114.2033936,22.33345713
11NE11C(e837n820:e838n821).tif,114.1888345,22.32261384,114.1961127,22.32803941
11NE11D(e838n820:e839n821).tif,114.1961141,22.32261282,114.2033926,22.32803865
11NE12A(e839n821:e839n821).tif,114.2033947,22.32802981,114.2106738,22.33345602
11NE12B(e839n821:e840n821).tif,114.2106746,22.32802814,114.217954,22.33345461
11NE12C(e839n820:e839n821).tif,114.2033936,22.32261146,114.2106725,22.32803755
11NE12D(e839n820:e840n821).tif,114.2106733,22.32260977,114.2179524,22.32803606
11NE13A(e840n821:e841n821).tif,114.2179545,22.32802612,114.2252342,22.33345284
11NE13B(e841n821:e842n821).tif,114.2252344,22.3280238,114.2325144,22.33345076
11NE13C(e840n820:e841n821).tif,114.2179528,22.32260777,114.2252324,22.32803435
11NE13D(e841n820:e842n821).tif,114.2252324,22.32260543,114.2325123,22.32803226
11NE14A(e842n821:e842n821).tif,114.2325142,22.32802114,114.2397945,22.33344825
11NE14B(e842n821:e843n821).tif,114.2397942,22.32801812,114.2470747,22.33344545
11NE14C(e842n820:e842n821).tif,114.232512,22.3226028,114.2397922,22.32802986
11NE14D(e842n820:e843n821).tif,114.2397917,22.32259991,114.2470721,22.32802717
11NE15A(e843n821:e844n821).tif,114.2470741,22.32801496,114.254355,22.33344257
11NE15B(e844n821:e845n821).tif,114.2543539,22.32801117,114.2616351,22.33343903
11NE15C(e843n820:e844n821).tif,114.2470711,22.32259647,114.2543519,22.328024
11NE15D(e844n820:e845n821).tif,114.2543507,22.32259282,114.2616317,22.32802046
11NE16A(e837n819:e838n820).tif,114.188834,22.31719575,114.1961119,22.3226211
11NE16B(e838n819:e839n820).tif,114.1961133,22.31719446,114.2033916,22.32262006
11NE16C(e837n819:e838n819).tif,114.1888333,22.31177758,114.1961105,22.31720239
11NE16D(e838n819:e839n819).tif,114.1961131,22.31177709,114.2033905,22.3172021
11NE17A(e839n819:e839n820).tif,114.2033925,22.3171931,114.2106712,22.32261906
11NE17B(e839n819:e840n820).tif,114.2106718,22.31719142,114.2179508,22.3226176
11NE17C(e839n819:e839n819).tif,114.2033918,22.31177494,114.2106699,22.31720047
11NE17D(e839n819:e840n819).tif,114.2106707,22.31177315,114.2179493,22.317199
11NE18A(e840n819:e841n820).tif,114.2179511,22.31718943,114.2252305,22.32261587
11NE18B(e841n819:e842n820).tif,114.2252305,22.31718708,114.2325101,22.32261372
11NE18C(e840n819:e841n819).tif,114.2179494,22.31177105,114.2252286,22.31719737
11NE18D(e841n819:e842n819).tif,114.2252285,22.31176873,114.232508,22.31719523
11NE19A(e842n819:e842n820).tif,114.2325098,22.31718466,114.2397898,22.32261152
11NE19B(e842n819:e843n820).tif,114.2397891,22.3171815,114.2470694,22.32260863
11NE19C(e842n819:e842n819).tif,114.2325075,22.31176606,114.2397873,22.3171928
11NE19D(e842n819:e843n819).tif,114.2397865,22.31176307,114.2470667,22.31719013
11NE1A(e837n823:e838n824).tif,114.1888373,22.34970558,114.1961164,22.35513182
11NE1B(e838n823:e839n824).tif,114.1961183,22.34970461,114.2033977,22.35513109
11NE1C(e837n822:e838n823).tif,114.1888367,22.34428728,114.1961156,22.34971337
11NE1D(e838n822:e839n823).tif,114.1961175,22.3442862,114.2033967,22.3497125
11NE20A(e843n819:e844n820).tif,114.2470684,22.31717832,114.2543491,22.3226057
11NE20B(e844n819:e845n820).tif,114.2543479,22.31717448,114.2616286,22.32260192
11NE20C(e843n819:e844n819).tif,114.2470657,22.31176012,114.2543459,22.31718715
11NE20D(e844n819:e845n819).tif,114.2543448,22.31175622,114.2616254,22.3171836
11NE21A(e837n818:e838n819).tif,114.1888235,22.30635906,114.1938762,22.31178474
11NE21B(e838n818:e839n819).tif,114.1962469,22.31136681,114.1966661,22.31178604
11NE21C(e837n818:e838n818).tif,114.1888219,22.300941,114.1934495,22.30636777
11NE22A(e839n818:e839n819).tif,114.2059924,22.30767313,114.2106684,22.31176695
11NE22B(e839n818:e840n819).tif,114.2106702,22.30635523,114.2179477,22.31178029
11NE22D(e839n818:e840n818).tif,114.2121435,22.30326968,114.2179458,22.30635273
11NE23A(e840n818:e841n819).tif,114.2179486,22.30635272,114.2252268,22.31177825
11NE23B(e841n818:e842n819).tif,114.2252265,22.30635042,114.2325058,22.31177677
11NE23C(e840n818:e841n818).tif,114.2179436,22.30246203,114.2252249,22.30636069
11NE23D(e841n818:e842n818).tif,114.2252248,22.300932,114.2325036,22.30635802
11NE24A(e842n818:e842n819).tif,114.2325052,22.30634769,114.2397849,22.31177436
11NE24B(e842n818:e843n819).tif,114.239784,22.3063448,114.247064,22.31177169
11NE24C(e842n818:e842n818).tif,114.232503,22.30092934,114.2397825,22.30635588
11NE24D(e842n818:e843n818).tif,114.2397814,22.30092637,114.2470611,22.30635306
11NE25A(e843n818:e844n819).tif,114.2470627,22.30634142,114.2543429,22.31176844
11NE25B(e844n818:e845n819).tif,114.2543417,22.30633775,114.2616221,22.31176501
11NE25C(e843n818:e844n818).tif,114.2470601,22.30092306,114.2543401,22.30634993
11NE25D(e844n818:e845n818).tif,114.25434,22.30092188,114.2616189,22.30634797
11NE2A(e839n823:e839n824).tif,114.2033993,22.34970318,114.2106791,22.35512993
11NE2B(e839n823:e840n824).tif,114.2106803,22.34970155,114.2179604,22.35512853
11NE2C(e839n822:e839n823).tif,114.2033982,22.34428493,114.2106777,22.34971149
11NE2D(e839n822:e840n823).tif,114.2106789,22.34428316,114.2179588,22.34970997
11NE3A(e840n823:e841n824).tif,114.2179613,22.34969954,114.2252416,22.35512669
11NE3B(e841n823:e842n824).tif,114.2252422,22.34969716,114.2325227,22.3551245
11NE3C(e840n822:e841n823).tif,114.2179596,22.34428115,114.2252398,22.34970821
11NE3D(e841n822:e842n823).tif,114.2252403,22.34427883,114.2325209,22.34970613
11NE4A(e842n823:e842n824).tif,114.2325236,22.34969469,114.2398044,22.35512221
11NE4B(e842n823:e843n824).tif,114.2398043,22.34969148,114.2470856,22.35511937
11NE4C(e842n822:e842n823).tif,114.232521,22.34427615,114.2398015,22.34970347
11NE4D(e842n822:e843n823).tif,114.2398018,22.34427323,114.2470829,22.34970095
11NE5A(e843n823:e844n824).tif,114.2470851,22.34968818,114.2543664,22.35511606
11NE5B(e844n823:e845n824).tif,114.2543664,22.34968457,114.2616479,22.35511252
11NE5C(e843n822:e844n823).tif,114.2470824,22.34426983,114.254364,22.34969792
11NE5D(e844n822:e845n823).tif,114.2543631,22.34426627,114.261645,22.34969455
11NE6A(e837n822:e838n822).tif,114.1888362,22.33886889,114.1961149,22.34429486
11NE6B(e838n822:e839n822).tif,114.1961167,22.33886789,114.2033957,22.34429405
11NE6C(e837n821:e838n822).tif,114.1888356,22.33345055,114.1961142,22.33887639
11NE6D(e838n821:e839n822).tif,114.1961157,22.33344961,114.2033945,22.33887561
11NE7A(e839n822:e839n822).tif,114.203397,22.3388665,114.2106764,22.34429297
11NE7B(e839n822:e840n822).tif,114.2106775,22.33886488,114.2179572,22.34429155
11NE7C(e839n821:e839n822).tif,114.2033959,22.33344816,114.2106751,22.33887448
11NE7D(e839n821:e840n822).tif,114.210676,22.33344647,114.2179556,22.33887302
11NE8A(e840n822:e841n822).tif,114.2179579,22.33886286,114.2252379,22.3442898
11NE8B(e841n822:e842n822).tif,114.2252383,22.33886047,114.2325186,22.34428764
11NE8C(e840n821:e841n822).tif,114.2179562,22.33344447,114.2252361,22.33887132
11NE8D(e841n821:e842n822).tif,114.2252364,22.33344215,114.2325166,22.33886921
11NE9A(e842n822:e842n822).tif,114.2325188,22.33885783,114.2397995,22.34428526
11NE9B(e842n822:e843n822).tif,114.2397992,22.33885482,114.2470803,22.34428254
11NE9C(e842n821:e842n822).tif,114.2325165,22.33343947,114.239797,22.33886678
11NE9D(e842n821:e843n822).tif,114.2397968,22.33343655,114.2470775,22.33886402
11NW10A(e836n822:e836n822).tif,114.1742752,22.33886997,114.1815534,22.34429551
11NW10B(e836n822:e837n822).tif,114.1815557,22.33886962,114.1888341,22.34429534
11NW10C(e836n821:e836n822).tif,114.1742752,22.33345163,114.1815532,22.33887703
11NW10D(e836n821:e837n822).tif,114.1815554,22.33345128,114.1888337,22.33887686
11NW11A(e830n821:e830n821).tif,114.1160374,22.32918698,114.1176758,22.33344686
11NW11B(e830n821:e831n821).tif,114.1250021,22.32836993,114.1305929,22.33345415
11NW11C(e830n820:e830n821).tif,114.1217887,22.32260565,114.1233155,22.32405704
11NW11D(e830n820:e831n821).tif,114.1233149,22.32260619,114.1305951,22.32618883
11NW12A(e831n821:e832n821).tif,114.1305943,22.32802801,114.1378733,22.33345417
11NW12B(e832n821:e833n821).tif,114.1378739,22.32802868,114.1451531,22.33345499
11NW12C(e831n820:e832n821).tif,114.1305958,22.32260848,114.1378748,22.32803465
11NW12D(e832n820:e833n821).tif,114.1378755,22.32261044,114.1451544,22.32803657
11NW13A(e833n821:e833n821).tif,114.1451543,22.32803045,114.1524331,22.33345649
11NW13B(e833n821:e834n821).tif,114.1524345,22.32803165,114.159713,22.33345747
11NW13C(e833n820:e833n821).tif,114.1451558,22.3226119,114.1524339,22.32803738
11NW13D(e833n820:e834n821).tif,114.1524354,22.3226132,114.1597137,22.32803882
11NW14A(e834n821:e835n821).tif,114.1597147,22.32803247,114.166993,22.33345807
11NW14B(e835n821:e836n821).tif,114.1669949,22.32803304,114.1742729,22.33345844
11NW14C(e834n820:e835n821).tif,114.1597152,22.3226141,114.1669934,22.3280396
11NW14D(e835n820:e836n821).tif,114.1669952,22.32261471,114.174273,22.32803996
11NW15A(e836n821:e836n821).tif,114.1742752,22.32803328,114.181553,22.33345854
